VFID,prefix,RA,DEC,vr,FLUX_AP06_FUV,FLUX_AP06_NUV,FLUX_AP06_G,FLUX_AP06_R,FLUX_AP06_Z,FLUX_AP06_W1,FLUX_AP06_W2,FLUX_AP06_W3,FLUX_AP06_W4,FLUX_IVAR_AP06_FUV,FLUX_IVAR_AP06_NUV,FLUX_IVAR_AP06_G,FLUX_IVAR_AP06_R,FLUX_IVAR_AP06_Z,FLUX_IVAR_AP06_W1,FLUX_IVAR_AP06_W2,FLUX_IVAR_AP06_W3,FLUX_IVAR_AP06_W4,logMstar,logSFR,logmass,logsfr
1,VFID0001-NGC4133,182.208,74.9042778,1331.5,0.0,0.0,6538.43017578125,13330.5986328125,20362.888671875,15457.78515625,9508.5419921875,43540.25,132720.296875,0.0,0.0,0.49678680300712585,0.12255702167749405,0.04213585704565048,0.027017582207918167,0.013813056983053684,9.671866428107023e-05,3.7952106595184887e-06,9.79049627696711,-0.9706162223147904,9.79,0.13
2,VFID0002-NGC2977,145.944663,74.8595778,3049.4,0.0,776.821533203125,6290.1787109375,10889.412109375,15117.26171875,11736.1201171875,7325.97607421875,42278.203125,59364.47265625,0.0,0.15184324979782104,0.2752995193004608,0.1361202448606491,0.04590127244591713,0.02766442485153675,0.011155199259519577,6.538513116538525e-05,2.6258196612616302e-06,10.293362554711445,0.0867156639448825,10.35,0.34
3,VFID0003-CGCG352-030,185.5730835,74.8383889,1833.0,0.0,0.0,1472.4560546875,3035.214599609375,4723.0126953125,2750.118408203125,1479.089111328125,258.73687744140625,236.92433166503906,0.0,0.0,2.23285174369812,0.4176270067691803,0.17292220890522003,0.1521349549293518,0.08245974779129028,0.0009442651644349098,3.704466871568002e-05,9.581949658373318,-2.5415132362017934,9.58,-2.35
4,VFID0004-UGC07189,182.82775049999998,74.8082222,1683.0,0.0,0.0,1339.9754638671875,2566.181640625,3198.550537109375,1862.6221923828125,989.9450073242188,2631.89501953125,3091.27099609375,0.0,0.0,1.1856052875518799,0.3025812804698944,0.07907048612833023,0.10534106940031052,0.04100994020700455,0.00022923316282685846,9.067089195013978e-06,9.254306332331286,-2.4046140191908583,9.54,-1.14
5,VFID0005-NGC3752,173.1341835,74.6275401,1920.1,210.46389770507812,322.33074951171875,3742.9501953125,6841.19482421875,8911.6806640625,6501.1787109375,3806.749755859375,14491.3056640625,19376.54296875,0.01364978402853012,0.02372945100069046,0.37130290269851685,0.11871743202209473,0.026629792526364326,0.03461557254195213,0.011559057980775833,7.032565190456808e-05,2.236151658507879e-06,9.673020907128896,-0.8285660990569917,9.76,-0.55
6,VFID0006-UGC04202,121.912404,74.5846308,2333.0,0.0,0.0,436.0333557128906,773.5396728515625,926.1702270507812,680.7571411132812,337.896484375,707.998046875,944.4854125976562,0.0,0.0,0.5057609677314758,0.15267425775527954,0.034080274403095245,0.1052483394742012,0.02737850323319435,8.284260547952726e-05,3.355160288265324e-06,8.789792167730676,-2.712198270069774,8.98,-1.69
7,VFID0007-KUG0746+747,118.2363,74.576533,2346.0,59.826419830322266,100.3304214477539,598.7843627929688,882.0342407226562,914.6744384765625,561.152099609375,291.01055908203125,911.8833618164062,1844.9708251953125,0.21526208519935608,0.35377928614616394,0.95184725522995,0.22888138890266418,0.141473188996315,0.20178815722465515,0.05844782665371895,0.00014652764366474003,5.887959559913725e-06,8.712733859069951,-1.1963380767637757,8.91,-1.65
8,VFID0008-NGC6643,274.943166,74.5683889,1484.5,0.0,1583.91650390625,17999.90234375,33722.421875,51583.08984375,26035.396484375,17099.412109375,206349.296875,307903.21875,0.0,0.09435078501701355,0.2210240662097931,0.10094263404607773,0.023989561945199966,0.016548223793506622,0.009142110124230385,0.00011870218440890312,4.643685770133743e-06,10.039414119176136,-0.34794715175189506,10.32,0.31
9,VFID0009-UGC07238,183.47745,74.501404,1702.1,0.0,0.0,733.0101928710938,1366.6160888671875,971.7593383789062,591.7906494140625,215.9247589111328,192.93167114257812,239.90330505371094,0.0,0.0,0.5839977860450745,0.14271122217178345,0.0327012874186039,0.08740963041782379,0.029729405418038368,0.0002085237647406757,8.260240974777844e-06,8.316389751073196,-1.704432900037521,8.78,-2.33
10,VFID0010-NGC4648,190.435041,74.4208611,1453.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31,-1.66
