VFID,prefix,RA,DEC,vr,FLUX_AP06_FUV,FLUX_AP06_NUV,FLUX_AP06_G,FLUX_AP06_R,FLUX_AP06_Z,FLUX_AP06_W1,FLUX_AP06_W2,FLUX_AP06_W3,FLUX_AP06_W4,FLUX_IVAR_AP06_FUV,FLUX_IVAR_AP06_NUV,FLUX_IVAR_AP06_G,FLUX_IVAR_AP06_R,FLUX_IVAR_AP06_Z,FLUX_IVAR_AP06_W1,FLUX_IVAR_AP06_W2,FLUX_IVAR_AP06_W3,FLUX_IVAR_AP06_W4,logMstar,logSFR,logmass,logsfr
VFID0004,VFID0004-UGC07189,182.82775049999998,74.8082222,1683.0,0.0,0.0,1339.9754638671875,2566.181640625,3198.550537109375,1862.6221923828125,989.9450073242188,2631.89501953125,3091.27099609375,0.0,0.0,1.1856052875518799,0.3025812804698944,0.07907048612833023,0.10534106940031052,0.04100994020700455,0.00022923316282685846,9.067089195013978e-06,9.254306332331286,-2.4046140191908583,9.54,-1.14
VFID0007,VFID0007-KUG0746+747,118.2363,74.576533,2346.0,59.826419830322266,100.3304214477539,598.7843627929688,882.0342407226562,914.6744384765625,561.152099609375,291.01055908203125,911.8833618164062,1844.9708251953125,0.21526208519935608,0.35377928614616394,0.95184725522995,0.22888138890266418,0.141473188996315,0.20178815722465515,0.05844782665371895,0.00014652764366474003,5.887959559913725e-06,8.712733859069951,-1.1963380767637757,8.91,-1.65
VFID0030,VFID0030-NGC3252,158.5963845,73.7650129,1148.8,139.2818145751953,181.67604064941406,2917.857177734375,5870.2919921875,7953.94970703125,6853.166015625,4133.4287109375,16818.896484375,22500.8359375,0.0194476880133152,0.03992146998643875,0.8755950331687927,0.4187658131122589,0.08302201330661774,0.055424388498067856,0.02615310251712799,0.00018879957497119904,7.530009042966412e-06,9.396548037987133,-1.4168012260313771,9.55,-0.72
VFID0137,VFID0137-UGC05688,157.60279200000002,70.0515889,1920.1,95.84248352050781,133.7149658203125,618.503173828125,907.1038208007812,671.4357299804688,424.81488037109375,244.4250946044922,781.152587890625,1138.1083984375,0.5713590979576111,2.205406904220581,5.493763446807861,1.5153650045394897,0.508884072303772,0.5134294033050537,0.17237040400505066,0.000981210614554584,3.1175484764389694e-05,8.366236123718293,-1.2875186621980812,9.42,-0.55
VFID0557,VFID0557-UGC06249,168.33596400000002,59.9079749,1059.4,145.23416137695312,192.89593505859375,1273.6480712890625,2042.146728515625,1732.6859130859375,722.4522705078125,386.1739196777344,717.0375366210938,1499.11474609375,0.018392711877822876,0.03566637262701988,1.1627411842346191,0.45355424284935,0.10363971441984177,0.2160869687795639,0.06240389868617058,0.00020048893929924816,8.128931767714676e-06,8.108565023732835,-1.9118639112994487,8.81,-1.03
VFID0727,VFID0727-MCG+10-16-099,168.887676,58.4784112,1451.9,23.158519744873047,51.06671142578125,378.0278625488281,559.4908447265625,365.39471435546875,288.6524353027344,154.50341796875,153.42169189453125,-557.841796875,1.0941712856292725,1.382220983505249,1.105703353881836,0.3644826412200928,0.12020839005708694,0.2221987247467041,0.056026481091976166,0.0002186555357184261,8.779275049164426e-06,7.858897957232004,-2.3057458879747217,,
VFID0827,VFID0827-NGC5109,200.2180545,57.6448147,2133.6,528.8115234375,661.1725463867188,2895.533447265625,4094.698486328125,4229.091796875,3041.6982421875,1839.05224609375,7783.65869140625,18698.90625,0.006487611681222916,0.029918840155005455,0.8318394422531128,0.308313250541687,0.08231400698423386,0.11543775349855423,0.04955281689763069,0.0002767975383903831,1.0892922546190675e-05,9.224533062606085,-0.575935474582512,9.29,-0.38
VFID1060,VFID1060-SBS1139+550,175.61340900000002,54.8189902,1246.3,2.6632447242736816,16.086780548095703,833.7949829101562,1608.7867431640625,2107.34814453125,1145.53125,587.2470092773438,153.0775604248047,-270.62054443359375,0.49594420194625854,4.524453163146973,1.9549560546875,0.3847768306732178,0.19575268030166626,0.20373688638210297,0.0674186423420906,0.00026283005718141794,1.080609126802301e-05,8.748962861256162,-3.8091082830778302,,
VFID1390,VFID1390-UGC08936,210.2203575,49.3754082,1907.5,63.959983825683594,99.12831115722656,606.880859375,941.621826171875,540.59619140625,489.5404357910156,246.37557983398438,663.1363525390625,778.9078369140625,0.4481717646121979,0.9510036706924438,0.5752566456794739,0.1305921971797943,0.050022609531879425,0.12600356340408325,0.030573207885026932,0.00011460791574791074,4.4996245378570165e-06,8.6862786780672,-1.5744657795017365,,
VFID2579,VFID2579-SDSSJ145053.09+341150.4,222.721248,34.1974048,1208.1,7.258352279663086,13.32347297668457,64.9163589477539,91.50408935546875,72.23545837402344,49.95335006713867,23.626667022705078,-7.444460868835449,-165.16749572753906,0.28650808334350586,1.0808430910110474,6.83718204498291,2.661076068878174,0.7721776962280273,1.19841730594635,0.28367024660110474,0.0018784713465720415,7.534154428867623e-05,6.813113754007898,-2.746419710437817,,
VFID4321,VFID4321-NGC4019,180.2936325,14.1040318,1531.3,468.4324951171875,629.3480224609375,2512.040283203125,3439.76953125,4251.3916015625,2436.31787109375,1409.11328125,5149.42626953125,14608.6064453125,0.006262194365262985,0.012860435992479324,0.5939985513687134,0.18049994111061096,0.0358613021671772,0.06254460662603378,0.017030522227287292,6.552086415467784e-05,2.956803427878185e-06,8.668479102932586,-0.7762445463427589,8.59,-0.93
